common_name,latitude_coordinate,longitude_coordinate
,36.1624279,-86.7872886
Callery pear,36.153515,-86.783856
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.1624279,-86.7872886
,36.1624279,-86.7872886
,36.1624279,-86.7872886
,36.1624279,-86.7872886
,36.1624279,-86.7872886
,36.1624279,-86.7872886
London planetree,36.1624279,-86.7872886
London planetree,36.1624279,-86.7872886
London planetree,36.1624279,-86.7872886
London planetree,36.1624279,-86.7872886
London planetree,36.1624279,-86.7872886
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.1624279,-86.7872886
,36.1624279,-86.7872886
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.155912,-86.782796
,36.1551458,-86.7825585
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.151473,-86.784184
,36.153515,-86.7839574
,36.162165,-86.774198
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.162165,-86.774198
,36.162165,-86.774198
,36.162165,-86.774198
,36.162165,-86.774198
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.1615736,-86.7740491
,36.1615736,-86.7740491
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.1615736,-86.7740491
,36.153515,-86.7839574
Callery pear,36.1513396,-86.7683586
,36.153515,-86.7839574
,36.153515,-86.7839574
Callery pear,36.1585828,-86.7739057
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.1599632,-86.7749332
,36.1599632,-86.7749332
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.1599632,-86.7749332
Green ash,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.153515,-86.7839574
,36.1618637,-86.7777341
,36.1618637,-86.7777341
,36.1618637,-86.7777341
,36.1618637,-86.7777341
,36.1618637,-86.7777341
,36.1618637,-86.7777341
,36.1618637,-86.7777341
,36.1618637,-86.7777341
,36.1581011,-86.7754127
,36.1632249,-86.7802119
,36.1632249,-86.7802119
,36.1632249,-86.7802119
,36.1632249,-86.7802119
,36.1575253,-86.7766286
,36.1575253,-86.7766286
London planetree,36.1575253,-86.7766286
,36.1646969,-86.7827601
,36.161317,-86.7765113
,36.163847,-86.786468
,36.163847,-86.786468
,36.163847,-86.786468
,36.1505794,-86.856161
,36.1611561,-86.7848883
,36.1611561,-86.7848883
,36.1611561,-86.7848883
,36.1611561,-86.7848883
,36.1657791,-86.7804127
,36.1657791,-86.7804127
,36.1657791,-86.7804127
,36.1657791,-86.7804127
,36.1657791,-86.7804127
,36.1657791,-86.7804127
,36.158861,-86.77598
,36.158861,-86.77598
,36.158861,-86.77598
,36.158861,-86.77598
,36.158861,-86.77598
,36.158861,-86.77598
,36.158861,-86.77598
,36.1625144,-86.7838066
,36.1673519,-86.7732851
,36.1673519,-86.7732851
,36.1673519,-86.7732851
,36.1673519,-86.7732851
,36.164127,-86.772139
,36.164127,-86.772139
,36.164127,-86.772139
,36.164127,-86.772139
,36.164127,-86.772139
,36.164127,-86.772139
,36.164127,-86.772139
,36.164127,-86.772139
,36.164127,-86.772139
,36.1624279,-86.7872886
Red maple,36.1624279,-86.7872886
,36.162165,-86.774198
,36.162165,-86.774198
,36.162165,-86.774198
,36.162165,-86.774198
,36.162165,-86.774198
,36.1551458,-86.7825585
