latitude,longitude,cluster,size
33.829058665696344,-117.94591674212329,33,840
33.8213587409484,-117.95618071715481,52,829
33.81427734510334,-118.01385419856916,46,819
33.85033044177738,-117.92926635924596,93,810
33.83062400257525,-117.96854233043479,43,810
33.8065355286,-117.94564170266666,1,809
33.82649615444444,-117.91463688381877,58,801
33.82038049363436,-117.8920578444934,97,784
33.83237204820322,-117.92663507311029,92,777
33.79479007341346,-117.91397696778846,10,766
33.82740856677368,-118.00929268057784,57,765
33.8295445739731,-117.99024484425428,28,757
33.85903587654321,-117.73007950617284,73,745
33.834820224837834,-117.90649447495495,15,733
33.84634867037255,-117.8300316272549,75,728
33.81691770097902,-117.90991836633367,26,726
33.86528787542887,-117.77461726610879,96,719
33.83319812684915,-117.87158849476886,36,717
33.84823769846667,-117.95361651342857,3,716
33.84383195845481,-117.78887260466472,0,707
33.8423248412782,-117.8835600906015,6,699
33.80564546583851,-117.88982080745342,71,696
33.84048092203145,-117.93200286422018,72,671
33.851594969026216,-117.90391400274656,68,667
33.86725205255682,-117.81354012301136,83,662
33.857395719804124,-117.7737460271134,88,657
33.82909110945534,-117.95419348703703,63,636
33.84169306804458,-117.8942134,37,629
33.826062069045385,-117.88061493161189,45,623
33.797471294289046,-117.9363439462704,77,611
33.85968396475771,-117.83632158590308,40,600
33.81835555909836,-118.00605983155738,19,593
33.82972394114662,-117.93618700827068,30,592
33.81872374746647,-117.88080132414306,2,585
33.839437350113165,-117.92015563996426,94,566
33.817612732003575,-117.99821489534884,70,561
33.82622035529914,-117.87436000584046,38,556
33.80662925014859,-117.93351284680534,4,550
33.81331708610963,-117.93795400802139,67,536
33.85378442915094,-117.8779458264151,24,532
33.836068977623626,-117.98115471153847,16,512
33.82089646619764,-117.94648136627282,11,511
33.83096740460656,-117.99926446409836,49,510
33.84668595419847,-117.75692748091603,87,498
33.865459182150104,-117.79777698559838,34,494
33.852196354079496,-117.89513742405857,79,493
33.84173222478079,-117.96306681826722,99,475
33.795782921257015,-117.90470502020202,32,471
33.84149241691843,-117.94466072507552,27,460
33.83864051922643,-117.91213889226431,44,416
33.826329295367344,-117.89163236408163,47,405
33.84793928049204,-117.92178868509407,5,402
33.84009378779116,-117.8254052504016,18,402
33.820185319007635,-117.98805014656489,59,352
33.82576011777525,-117.9219571860386,54,343
33.79627090517241,-117.88783103448276,56,322
33.84238885210909,-117.80899718836363,7,318
33.82580680327764,-117.97741601760926,74,303
33.84144060705955,-117.86679788225807,91,275
33.82220313077876,-117.9702925061947,25,263
33.83350811767524,-117.88835872114485,78,262
33.86211312549374,-117.76595110139083,20,245
33.850059229732146,-117.78498080854592,90,232
33.81303088843416,-117.95201376067615,65,227
33.852458628985204,-117.96967752536997,31,219
32.70489983943396,-97.17990214924528,13,843
32.71923926619048,-97.10366350714285,15,707
32.66189289277778,-97.11726526435186,87,666
32.76419152557047,-97.09108253127516,8,493
32.66684237533333,-97.09081500308334,19,403
32.73528339589743,-97.07250039705129,51,377
32.659050642064514,-97.16217240974194,9,352
32.76101237950178,-97.11961944893238,22,294
32.73340458290061,-97.09202706527384,48,289
32.69782066495726,-97.10942433641026,68,283
