state,city,common_name,count
California,Anaheim,American sweetgum,1433
California,Anaheim,Bottle tree,416
California,Anaheim,Brisbane box,1609
California,Anaheim,California sycamore,634
California,Anaheim,Camphor tree,2567
California,Anaheim,Canary island date palm,284
California,Anaheim,Canary island pine,2317
California,Anaheim,Carob,58
California,Anaheim,Carrotwood,1318
California,Anaheim,Chinese elm,852
California,Anaheim,Chinese pistache,1123
California,Anaheim,Crape myrtle,3320
California,Anaheim,Eucalyptus,283
California,Anaheim,Evergreen pear,306
California,Anaheim,Indian laurel fig,208
California,Anaheim,Italian cypress,93
California,Anaheim,Jacaranda,1676
California,Anaheim,London plane,1225
California,Anaheim,Mexican fan palm,4379
California,Anaheim,Modesto ash,88
California,Anaheim,Ornamental pear,254
California,Anaheim,Pine,3
California,Anaheim,Queen palm,1706
California,Anaheim,Southern magnolia,4568
California,Anaheim,Vacant site,22601
California,Anaheim,Victorian box,79
California,Fresno,Camphor tree,153
California,Fresno,Chinese elm,444
California,Fresno,Chinese pistache,713
California,Fresno,Evergreen pear,3
California,Fresno,Italian cypress,198
California,Fresno,London planetree,294
California,Garden Grove,American sweetgum,335
California,Garden Grove,Bottle tree,8
California,Garden Grove,Brisbane box,1643
California,Garden Grove,California sycamore,105
California,Garden Grove,Camphor tree,98
California,Garden Grove,Canary island date palm,39
California,Garden Grove,Canary island pine,1049
California,Garden Grove,Carob,30
California,Garden Grove,Carrotwood,1438
California,Garden Grove,Chinese elm,592
California,Garden Grove,Chinese pistache,11
California,Garden Grove,Crape myrtle,2355
California,Garden Grove,Eucalyptus,1
California,Garden Grove,Evergreen pear,710
California,Garden Grove,Indian laurel fig,95
California,Garden Grove,Italian cypress,62
California,Garden Grove,Jacaranda,668
California,Garden Grove,London plane,593
California,Garden Grove,Mexican fan palm,595
California,Garden Grove,Modesto ash,14
California,Garden Grove,Ornamental pear,465
California,Garden Grove,Queen palm,897
California,Garden Grove,Southern magnolia,695
California,Garden Grove,Victorian box,40
California,Huntington Beach,American sweetgum,170
California,Huntington Beach,Bottle tree,51
California,Huntington Beach,Brisbane box,1453
California,Huntington Beach,California sycamore,516
California,Huntington Beach,Camphor tree,304
California,Huntington Beach,Canary island date palm,328
California,Huntington Beach,Canary island pine,1352
California,Huntington Beach,Carob,23
California,Huntington Beach,Carrotwood,1431
California,Huntington Beach,Chinese elm,82
California,Huntington Beach,Chinese pistache,67
California,Huntington Beach,Crape myrtle,3813
California,Huntington Beach,Eucalyptus,3
California,Huntington Beach,Evergreen pear,730
California,Huntington Beach,Indian laurel fig,141
California,Huntington Beach,Italian cypress,55
California,Huntington Beach,Jacaranda,199
California,Huntington Beach,London plane,480
California,Huntington Beach,Mexican fan palm,4037
California,Huntington Beach,Modesto ash,13
California,Huntington Beach,Ornamental pear,1027
California,Huntington Beach,Pine,9
California,Huntington Beach,Queen palm,4681
California,Huntington Beach,Southern magnolia,299
California,Huntington Beach,Vacant site,9966
California,Huntington Beach,Victorian box,114
California,Irvine,Brisbane box,3810
California,Irvine,California sycamore,2887
California,Irvine,Camphor tree,1333
California,Irvine,Canary island pine,4578
California,Irvine,Carrotwood,1244
California,Irvine,Chinese elm,690
California,Irvine,Evergreen pear,276
California,Irvine,Italian cypress,440
California,Irvine,Jacaranda,2063
California,Irvine,London planetree,1195
California,Irvine,Mexican fan palm,542
California,Irvine,Queen palm,14
California,Irvine,Southern magnolia,530
California,Los Angeles,American sweetgum,30056
California,Los Angeles,Bottle tree,5159
California,Los Angeles,Brisbane box,2892
California,Los Angeles,California sycamore,4419
California,Los Angeles,Camphor tree,15850
California,Los Angeles,Canary island date palm,9444
California,Los Angeles,Canary island pine,11609
California,Los Angeles,Carob,10484
California,Los Angeles,Carrotwood,11715
California,Los Angeles,Chinese elm,6839
California,Los Angeles,Chinese pistache,1012
California,Los Angeles,Crape myrtle,34729
California,Los Angeles,Evergreen pear,9725
California,Los Angeles,Indian laurel fig,28803
California,Los Angeles,Italian cypress,14078
California,Los Angeles,Jacaranda,20365
California,Los Angeles,London plane,17477
California,Los Angeles,Mexican fan palm,37971
California,Los Angeles,Modesto ash,8695
California,Los Angeles,Ornamental pear,3448
California,Los Angeles,Queen palm,10696
California,Los Angeles,Southern magnolia,30988
California,Los Angeles,Victorian box,7693
California,Ontario,American sweetgum,4391
California,Ontario,Bottle tree,868
California,Ontario,Brisbane box,1035
California,Ontario,California sycamore,435
California,Ontario,Camphor tree,3900
California,Ontario,Canary island date palm,727
California,Ontario,Canary island pine,3307
California,Ontario,Carob,139
California,Ontario,Carrotwood,1108
California,Ontario,Chinese elm,1163
California,Ontario,Chinese pistache,1343
California,Ontario,Crape myrtle,4630
California,Ontario,Eucalyptus,1
California,Ontario,Evergreen pear,674
California,Ontario,Indian laurel fig,239
California,Ontario,Italian cypress,269
California,Ontario,Jacaranda,1149
California,Ontario,London plane,3067
California,Ontario,Mexican fan palm,1584
California,Ontario,Modesto ash,171
California,Ontario,Ornamental pear,2793
California,Ontario,Queen palm,2109
California,Ontario,Southern magnolia,935
California,Ontario,Victorian box,62
California,Rancho Cucamonga,Bottle tree,3961
California,Rancho Cucamonga,Carob,12
California,Rancho Cucamonga,Carrotwood,1069
California,Rancho Cucamonga,Chinese pistache,3217
California,Rancho Cucamonga,Crape myrtle,12877
California,Rancho Cucamonga,Eucalyptus,5595
California,Rancho Cucamonga,Jacaranda,734
California,Rancho Cucamonga,Pine,6104
California,Sacramento,Camphor tree,773
California,Sacramento,Canary island date palm,965
California,Sacramento,Chinese elm,4047
California,Sacramento,Chinese pistache,4580
California,Sacramento,Evergreen pear,346
California,Sacramento,Italian cypress,1267
California,Sacramento,London planetree,14111
California,Sacramento,Mexican fan palm,1535
California,Sacramento,Modesto ash,2275
California,Sacramento,Pine,1461
California,Sacramento,Southern magnolia,1151
California,San Diego,Bottle tree,1067
California,San Diego,Brisbane box,7591
California,San Diego,California sycamore,7330
California,San Diego,Camphor tree,2267
California,San Diego,Canary island date palm,1642
California,San Diego,Canary island pine,469
California,San Diego,Carob,1048
California,San Diego,Carrot wood,13608
California,San Diego,Chinese elm,1349
California,San Diego,Chinese pistache,115
California,San Diego,Crape myrtle,2207
California,San Diego,Eucalyptus,12008
California,San Diego,Evergreen pear,2210
California,San Diego,Indian laurel fig,1333
California,San Diego,Italian cypress,5501
California,San Diego,Jacaranda,9831
California,San Diego,London plane,1907
California,San Diego,Mexican fan palm,11586
California,San Diego,Pine,12677
California,San Diego,Queen palm,22624
California,San Diego,Sweet gum,10323
California,San Diego,Victorian box,791
California,San Francisco,Bottle tree,14
California,San Francisco,Brisbane box,8236
California,San Francisco,California sycamore,73
California,San Francisco,Camphor tree,141
California,San Francisco,Canary island date palm,884
California,San Francisco,Canary island pine,350
California,San Francisco,Carob,855
California,San Francisco,Carrotwood,246
California,San Francisco,Chinese elm,2326
California,San Francisco,Chinese pistache,412
California,San Francisco,Crape myrtle,99
California,San Francisco,Eucalyptus,549
California,San Francisco,Evergreen pear,1910
California,San Francisco,Italian cypress,174
California,San Francisco,Jacaranda,1118
California,San Francisco,Mexican fan palm,967
California,San Francisco,Modesto ash,3
California,San Francisco,Ornamental pear,2978
California,San Francisco,Pine,253
California,San Francisco,Queen palm,978
California,San Francisco,Southern magnolia,6219
California,San Francisco,Sycamore london plane,11383
California,San Francisco,Victorian box,6922
California,Santa Rosa,Pine,24
California,Stockton,American sweetgum,4110
California,Stockton,Bottle tree,60
California,Stockton,Brisbane box,1
California,Stockton,Camphor tree,1670
California,Stockton,Canary island pine,779
California,Stockton,Carob,169
California,Stockton,Carrotwood,1
California,Stockton,Chinese elm,353
California,Stockton,Chinese pistache,11392
California,Stockton,Crape myrtle,7368
California,Stockton,Eucalyptus,50
California,Stockton,Evergreen pear,1023
California,Stockton,Italian cypress,1089
California,Stockton,Jacaranda,8
California,Stockton,Mexican fan palm,780
California,Stockton,Modesto ash,4435
California,Stockton,Ornamental pear,5296
California,Stockton,Pine,194
California,Stockton,Queen palm,743
California,Stockton,Southern magnolia,3762
Colorado,Aurora,American elm,612
Colorado,Aurora,American linden,1562
Colorado,Aurora,Austrian pine,1517
Colorado,Aurora,Blue spruce,1205
Colorado,Aurora,Bur oak,296
Colorado,Aurora,English oak,601
Colorado,Aurora,Green ash,5465
Colorado,Aurora,Hackberry,2463
Colorado,Aurora,Honeylocust,8388
Colorado,Aurora,Linden,6107
Colorado,Aurora,Littleleaf linden,117
Colorado,Aurora,Northern red oak,536
Colorado,Aurora,Norway maple,4614
Colorado,Aurora,Plains cottonwood,1068
Colorado,Aurora,Ponderosa pine,805
Colorado,Aurora,Rocky mountain juniper,248
Colorado,Aurora,Siberian elm,1324
Colorado,Aurora,Silver maple,3433
Colorado,Aurora,Swamp white oak,317
Colorado,Aurora,Western catalpa,254
Colorado,Aurora,White ash,763
Colorado,Colorado Springs,American elm,679
Colorado,Colorado Springs,American linden,48
Colorado,Colorado Springs,Austrian pine,333
Colorado,Colorado Springs,Blue spruce,886
Colorado,Colorado Springs,Bur oak,202
Colorado,Colorado Springs,English oak,50
Colorado,Colorado Springs,Freeman maple,30
Colorado,Colorado Springs,Green ash,1840
Colorado,Colorado Springs,Hackberry,189
Colorado,Colorado Springs,Honeylocust,553
Colorado,Colorado Springs,Kentucky coffeetree,71
Colorado,Colorado Springs,Linden,118
